# timestamp tx ty tz qx qy qz qw
1403636589.413555384 -0.000872 -0.087204 0.020343 -0.004862 0.001529 0.700992 0.713150
1403636589.463555574 -0.005267 -0.118414 0.019217 -0.004559 0.000929 0.699686 0.714435
1403636589.513555527 -0.010058 -0.150862 0.018542 -0.003505 0.001356 0.699061 0.715052
1403636589.563555479 -0.014837 -0.183032 0.016811 -0.001707 0.001526 0.698829 0.715285
1403636589.613555431 -0.019914 -0.214076 0.016648 -0.000101 0.002204 0.697841 0.716249
1403636589.663555384 -0.025193 -0.244267 0.015990 0.001714 0.002244 0.697065 0.717003
1403636589.713555574 -0.030856 -0.274018 0.015222 0.003122 0.002208 0.696580 0.717469
1403636589.763555527 -0.036672 -0.304894 0.014502 0.004673 0.000402 0.696026 0.718002
1403636589.813555479 -0.042390 -0.332088 0.014768 0.005770 -0.003563 0.695208 0.718777
1403636589.863555431 -0.048235 -0.356885 0.015473 0.005888 -0.008422 0.694073 0.719832
1403636589.913555384 -0.054971 -0.378838 0.015620 0.007093 -0.013199 0.692779 0.720994
1403636589.963555574 -0.060598 -0.400029 0.016644 0.009005 -0.017558 0.692280 0.721359
1403636590.013555527 -0.065520 -0.418447 0.016353 0.012572 -0.020448 0.691838 0.721654
1403636590.063555479 -0.067974 -0.434222 0.016429 0.016515 -0.020764 0.691114 0.722258
1403636590.113555431 -0.069329 -0.446972 0.014477 0.020582 -0.020429 0.690583 0.722672
1403636590.163555384 -0.069971 -0.456098 0.012542 0.024862 -0.020102 0.690310 0.722807
1403636590.213555574 -0.070257 -0.460905 0.011491 0.027312 -0.019413 0.689731 0.723290
1403636590.263555527 -0.069874 -0.461685 0.009424 0.027381 -0.018955 0.689096 0.723904
1403636590.313555479 -0.069640 -0.458448 0.007556 0.026078 -0.018673 0.688439 0.724585
1403636590.363555431 -0.069363 -0.451184 0.006371 0.023889 -0.017647 0.688299 0.724819
1403636590.413555384 -0.068692 -0.439671 0.004353 0.021795 -0.016209 0.688152 0.725058
1403636590.463555574 -0.066655 -0.424985 0.001912 0.019139 -0.013441 0.688500 0.724859
1403636590.513555527 -0.064089 -0.406576 -0.000986 0.017644 -0.010503 0.688492 0.724953
