# timestamp tx ty tz qx qy qz qw
1403636580.613555431 -0.076806 -0.065228 0.024613 -0.057350 -0.037197 0.698823 0.712021
1403636583.563555479 -0.057623 -0.063240 0.018755 -0.013036 -0.007890 0.698156 0.715783
1403636583.663555384 -0.070465 -0.063034 0.021832 -0.021701 -0.017512 0.697776 0.715773
1403636583.713555574 -0.076466 -0.063250 0.023520 -0.027792 -0.025880 0.700162 0.712974
1403636583.763555527 -0.081884 -0.063126 0.024626 -0.034186 -0.035342 0.702351 0.710131
1403636583.813555479 -0.086964 -0.063136 0.025461 -0.041070 -0.042546 0.703750 0.707982
1403636583.863555431 -0.092151 -0.063303 0.026439 -0.046035 -0.047427 0.703425 0.707690
1403636583.913555384 -0.096612 -0.063812 0.026104 -0.049857 -0.050403 0.700960 0.709668
1403636583.963555574 -0.099115 -0.065338 0.021542 -0.052248 -0.053614 0.698635 0.711551
1403636584.013555527 -0.107022 -0.059619 0.006802 -0.049443 -0.058650 0.694737 0.715162
1403636584.063555479 -0.109597 -0.059229 0.001876 -0.046628 -0.061753 0.693042 0.716732
1403636584.113555431 -0.108669 -0.064520 0.008392 -0.044944 -0.061751 0.695652 0.714308
1403636584.163555384 -0.101286 -0.068080 0.016708 -0.044637 -0.063451 0.696662 0.713192
1403636584.213555574 -0.087740 -0.069076 0.018301 -0.046889 -0.065541 0.695279 0.714208
1403636584.263555527 -0.067716 -0.071898 0.019638 -0.053331 -0.067658 0.691319 0.717395
1403636584.313555479 -0.045606 -0.072461 0.020581 -0.057979 -0.070416 0.688470 0.719506
1403636584.363555431 -0.021111 -0.073536 0.020872 -0.062208 -0.071897 0.687049 0.720364
1403636584.413555384 0.006663 -0.073447 0.022284 -0.067517 -0.071971 0.684915 0.721909
1403636584.463555574 0.033276 -0.073249 0.025640 -0.071290 -0.070757 0.682632 0.723826
1403636584.513555527 0.060549 -0.072165 0.027832 -0.073282 -0.070668 0.680649 0.725502
1403636584.563555479 0.082667 -0.071677 0.035649 -0.072166 -0.066940 0.680460 0.726144
1403636584.613555431 0.113720 -0.071648 0.036280 -0.072926 -0.064032 0.681104 0.725727
1403636584.663555384 0.140004 -0.071134 0.039490 -0.072156 -0.058356 0.681106 0.726280
1403636584.713555574 0.158305 -0.071087 0.044368 -0.068750 -0.050177 0.680697 0.727603
1403636584.763555527 0.176554 -0.071576 0.045601 -0.066647 -0.042713 0.680613 0.728354
1403636584.813555479 0.192907 -0.072614 0.045635 -0.063705 -0.037682 0.679919 0.729542
1403636584.863555431 0.207579 -0.075084 0.044791 -0.062047 -0.033978 0.681532 0.728361
1403636584.913555384 0.220478 -0.078920 0.046278 -0.061202 -0.031946 0.682436 0.727677
1403636584.963555574 0.228333 -0.077809 0.046162 -0.061255 -0.031041 0.684755 0.725530
1403636585.013555527 0.231602 -0.077928 0.045492 -0.063255 -0.030662 0.685203 0.724952
1403636585.063555479 0.229924 -0.078177 0.045243 -0.065546 -0.030345 0.685946 0.724058
1403636585.113555431 0.223610 -0.077629 0.045082 -0.066310 -0.030913 0.686430 0.723506
1403636585.163555384 0.212721 -0.076402 0.045467 -0.068142 -0.029642 0.686842 0.722998
1403636585.213555574 0.199391 -0.074960 0.045945 -0.070309 -0.028179 0.686723 0.722962
1403636585.263555527 0.185246 -0.073118 0.045481 -0.072620 -0.026843 0.684970 0.724446
1403636585.313555479 0.171054 -0.071415 0.045614 -0.074458 -0.025432 0.683236 0.725946
1403636585.363555431 0.154439 -0.070172 0.044552 -0.075166 -0.024673 0.680371 0.728585
1403636585.413555384 0.136712 -0.068248 0.043785 -0.075301 -0.024790 0.679408 0.729466
1403636585.463555574 0.117223 -0.064940 0.045609 -0.072633 -0.028258 0.679121 0.729877
1403636585.513555527 0.098414 -0.062347 0.047324 -0.071280 -0.031569 0.679041 0.729949
1403636585.563555479 0.080446 -0.062139 0.045071 -0.068870 -0.037125 0.678640 0.730292
1403636585.613555431 0.066308 -0.061647 0.037096 -0.066911 -0.044705 0.679941 0.728838
1403636585.663555384 0.052996 -0.060136 0.033152 -0.064755 -0.052630 0.681883 0.726686
1403636585.713555574 0.042242 -0.060706 0.026104 -0.063852 -0.060377 0.683678 0.724473
1403636585.763555527 0.034766 -0.062024 0.021271 -0.065910 -0.067432 0.685695 0.721755
1403636585.813555479 0.029522 -0.062632 0.017250 -0.067946 -0.075111 0.688337 0.718285
