# timestamp tx ty tz qx qy qz qw
1403636589.908555508 4.539038 -0.659443 -7.877158 -0.178242 -0.329841 0.263392 0.888853
1403636589.913555384 4.593326 -0.652398 -7.940997 -0.177870 -0.329928 0.263701 0.888803
1403636589.918555498 4.647852 -0.645267 -8.005104 -0.177500 -0.330002 0.264028 0.888753
1403636589.923555613 4.702613 -0.638047 -8.069475 -0.177129 -0.330057 0.264355 0.888709
1403636589.928555489 4.757608 -0.630739 -8.134104 -0.176746 -0.330101 0.264681 0.888672
1403636589.933555603 4.812843 -0.623341 -8.198999 -0.176357 -0.330129 0.265002 0.888643
1403636589.938555479 4.868312 -0.615854 -8.264152 -0.175966 -0.330124 0.265319 0.888628
1403636589.943555593 4.924018 -0.608278 -8.329570 -0.175569 -0.330089 0.265639 0.888624
1403636589.948555470 4.979956 -0.600615 -8.395248 -0.175164 -0.330033 0.265957 0.888630
1403636589.953555584 5.036128 -0.592867 -8.461191 -0.174752 -0.329960 0.266264 0.888646
1403636589.958555460 4.742288 -0.635282 -8.010205 -0.181107 -0.340374 0.276320 0.880337
1403636589.963555574 4.797872 -0.626887 -8.074160 -0.180694 -0.340259 0.276593 0.880381
1403636589.968555450 4.522568 -0.704251 -7.527354 -0.188166 -0.352706 0.286589 0.870665
1403636589.973555565 4.577633 -0.695318 -7.588858 -0.187766 -0.352544 0.286844 0.870734
1403636589.978555441 4.632926 -0.686291 -7.650617 -0.187383 -0.352362 0.287097 0.870807
1403636589.983555555 4.688452 -0.677169 -7.712638 -0.187023 -0.352160 0.287355 0.870880
1403636589.988555431 4.744209 -0.667946 -7.774915 -0.186690 -0.351940 0.287619 0.870954
1403636589.993555546 4.800204 -0.658618 -7.837454 -0.186381 -0.351705 0.287884 0.871027
1403636589.998555422 4.856435 -0.649181 -7.900251 -0.186096 -0.351458 0.288137 0.871105
1403636590.003555536 4.912909 -0.639631 -7.963310 -0.185839 -0.351196 0.288365 0.871189
1403636590.008555412 4.969623 -0.629964 -8.026626 -0.185612 -0.350920 0.288562 0.871284
1403636590.013555527 5.026582 -0.620181 -8.090204 -0.185412 -0.350632 0.288738 0.871384
1403636590.018555403 4.675020 -0.669329 -7.573716 -0.191653 -0.359508 0.299063 0.862893
1403636590.023555517 4.731184 -0.658801 -7.635270 -0.191492 -0.359178 0.299228 0.863009
1403636590.028555393 4.787582 -0.648158 -7.697075 -0.191340 -0.358831 0.299393 0.863130
1403636590.033555508 4.844218 -0.637402 -7.759138 -0.191201 -0.358461 0.299551 0.863260
1403636590.038555384 4.901085 -0.626535 -7.821453 -0.191064 -0.358077 0.299692 0.863401
1403636590.043555498 4.958186 -0.615559 -7.884029 -0.190928 -0.357685 0.299810 0.863552
1403636590.048555613 5.015516 -0.604474 -7.946862 -0.190798 -0.357288 0.299899 0.863714
1403636590.053555489 5.073069 -0.593285 -8.009952 -0.190670 -0.356889 0.299970 0.863883
1403636590.058555603 5.130849 -0.581988 -8.073304 -0.190543 -0.356491 0.300039 0.864051
1403636590.063555479 5.188849 -0.570588 -8.136914 -0.190418 -0.356090 0.300112 0.864218
1403636590.068555593 4.817637 -0.672443 -7.551673 -0.198453 -0.365848 0.309123 0.855111
1403636590.073555470 4.874788 -0.660576 -7.613017 -0.198348 -0.365424 0.309206 0.855287
1403636590.078555584 4.932165 -0.648597 -7.674622 -0.198248 -0.364994 0.309290 0.855463
1403636590.083555460 4.989762 -0.636505 -7.736480 -0.198153 -0.364555 0.309368 0.855644
1403636590.088555574 5.047585 -0.624299 -7.798596 -0.198063 -0.364114 0.309437 0.855827
1403636590.093555450 5.105631 -0.611978 -7.860963 -0.197980 -0.363671 0.309510 0.856009
1403636590.098555565 5.163905 -0.599540 -7.923586 -0.197906 -0.363219 0.309602 0.856184
1403636590.103555441 5.222404 -0.586986 -7.986458 -0.197838 -0.362753 0.309729 0.856352
1403636590.108555555 5.281132 -0.574312 -8.049585 -0.197766 -0.362266 0.309900 0.856513
1403636590.113555431 5.340083 -0.561519 -8.112963 -0.197693 -0.361754 0.310110 0.856670
1403636590.118555546 4.911488 -0.616122 -7.538124 -0.204127 -0.369491 0.320232 0.848092
1403636590.123555422 4.969377 -0.602574 -7.599479 -0.204065 -0.368962 0.320459 0.848251
1403636590.128555536 5.027488 -0.588902 -7.661093 -0.204011 -0.368445 0.320672 0.848408
1403636590.133555412 5.085814 -0.575109 -7.722962 -0.203959 -0.367943 0.320866 0.848566
1403636590.138555527 5.144357 -0.561194 -7.785092 -0.203896 -0.367462 0.321043 0.848723
1403636590.143555403 5.203113 -0.547157 -7.847479 -0.203829 -0.367010 0.321200 0.848874
1403636590.148555517 5.262085 -0.532998 -7.910131 -0.203765 -0.366583 0.321336 0.849023
1403636590.153555393 5.321269 -0.518717 -7.973041 -0.203703 -0.366181 0.321448 0.849169
1403636590.158555508 5.380670 -0.504314 -8.036216 -0.203647 -0.365800 0.321539 0.849312
1403636590.163555384 5.440284 -0.489788 -8.099650 -0.203597 -0.365437 0.321613 0.849452
1403636590.168555498 4.977858 -0.631626 -7.484880 -0.212461 -0.373949 0.329172 0.840635
1403636590.173555613 5.036384 -0.616810 -7.546188 -0.212450 -0.373621 0.329224 0.840764
1403636590.178555489 5.095126 -0.601867 -7.607752 -0.212456 -0.373300 0.329279 0.840883
1403636590.183555603 5.154089 -0.586795 -7.669578 -0.212484 -0.372988 0.329341 0.840991
1403636590.188555479 5.213268 -0.571596 -7.731658 -0.212526 -0.372694 0.329414 0.841082
1403636590.193555593 5.272670 -0.556269 -7.793999 -0.212577 -0.372410 0.329503 0.841160
1403636590.198555470 5.332287 -0.540815 -7.856593 -0.212636 -0.372136 0.329598 0.841229
1403636590.203555584 5.392126 -0.525231 -7.919447 -0.212702 -0.371880 0.329700 0.841285
1403636590.208555460 5.452178 -0.509520 -7.982556 -0.212779 -0.371633 0.329810 0.841332
1403636590.213555574 5.512447 -0.493684 -8.045925 -0.212865 -0.371395 0.329926 0.841370
1403636590.218555450 5.022523 -0.545191 -7.414970 -0.219233 -0.379272 0.339709 0.832278
1403636590.223555565 5.081543 -0.528552 -7.476272 -0.219328 -0.379074 0.339807 0.832304
1403636590.228555441 5.140768 -0.511786 -7.537829 -0.219428 -0.378895 0.339889 0.832325
1403636590.233555555 5.200203 -0.494893 -7.599646 -0.219533 -0.378741 0.339953 0.832341
1403636590.238555431 5.259842 -0.477874 -7.661717 -0.219634 -0.378619 0.339999 0.832351
1403636590.243555546 5.319694 -0.460729 -7.724049 -0.219734 -0.378523 0.340030 0.832356
1403636590.248555422 5.379751 -0.443461 -7.786634 -0.219826 -0.378449 0.340058 0.832354
1403636590.253555536 5.440021 -0.426066 -7.849480 -0.219906 -0.378394 0.340084 0.832348
1403636590.258555412 5.500499 -0.408546 -7.912580 -0.219979 -0.378356 0.340103 0.832337
1403636590.263555527 5.561192 -0.390898 -7.975939 -0.220044 -0.378341 0.340120 0.832320
1403636590.268555403 5.622097 -0.373123 -8.039551 -0.220109 -0.378345 0.340132 0.832296
1403636590.273555517 5.683220 -0.355217 -8.103423 -0.220184 -0.378367 0.340139 0.832263
