# timestamp tx ty tz qx qy qz qw
1403636583.563555479 0.010308 -0.060362 -0.097310 -0.590112 -0.581812 0.390780 0.400691
1403636583.613555431 -0.029104 -0.052651 -0.097955 -0.600990 -0.580244 0.384349 0.392944
1403636583.663555384 -0.042758 -0.048338 -0.112375 -0.604824 -0.582427 0.382887 0.385180
1403636583.763555527 -0.040751 -0.057879 -0.163710 -0.606462 -0.583294 0.383542 0.380615
1403636583.863555431 -0.063678 -0.065082 -0.229200 -0.597571 -0.586453 0.376283 0.396726
1403636583.913555384 -0.118064 -0.013335 -0.192216 -0.622599 -0.594674 0.360863 0.358486
1403636583.963555574 -0.143588 -0.016403 -0.182678 -0.623627 -0.596612 0.358663 0.355675
1403636584.013555527 -0.054360 0.020058 -0.198735 -0.620264 -0.601110 0.358231 0.354414
1403636584.063555479 -0.199855 0.021579 -0.210221 -0.618828 -0.604341 0.358610 0.351031
1403636584.113555431 -0.217574 0.027926 -0.189481 -0.618202 -0.606652 0.358238 0.348520
1403636584.163555384 -0.383893 0.073963 -0.240752 -0.614759 -0.609875 0.357470 0.349770
1403636584.213555574 -0.301485 0.075773 -0.198358 -0.614039 -0.607845 0.362190 0.349712
1403636584.263555527 -0.330766 0.093851 -0.191932 -0.612844 -0.603597 0.368529 0.352533
1403636584.313555479 -0.607709 0.167476 -0.180109 -0.612118 -0.600701 0.373017 0.354017
1403636584.363555431 -0.495968 0.020097 0.160066 -0.611829 -0.598941 0.374018 0.356433
1403636584.413555384 -0.482617 0.039605 0.225124 -0.610328 -0.598275 0.372670 0.361502
1403636584.463555574 -0.506502 0.051677 0.313176 -0.608970 -0.596875 0.372114 0.366643
1403636584.513555527 -0.395822 0.027997 0.317838 -0.606380 -0.595970 0.371917 0.372560
1403636584.563555479 -0.397614 0.030147 0.352002 -0.604573 -0.591414 0.376186 0.378423
1403636584.613555431 -0.331953 0.054401 0.339671 -0.601533 -0.586435 0.381001 0.386122
1403636584.663555384 -0.267816 0.055588 0.355254 -0.599838 -0.579784 0.384805 0.394930
1403636584.713555574 -0.021078 -0.019283 0.576757 -0.595651 -0.578841 0.383529 0.403792
1403636584.763555527 0.035840 -0.023745 0.686011 -0.593426 -0.572641 0.387585 0.411953
1403636584.813555479 0.065801 -0.094836 0.545178 -0.590915 -0.568601 0.391621 0.417308
1403636584.863555431 0.031377 -0.085115 0.373704 -0.589543 -0.562667 0.397581 0.421633
1403636584.913555384 -0.004230 -0.073225 0.179863 -0.587983 -0.559035 0.401648 0.424777
1403636584.963555574 0.027302 -0.101869 0.095256 -0.588861 -0.556738 0.403364 0.424951
1403636585.013555527 0.026664 -0.100944 0.100062 -0.590504 -0.555786 0.402215 0.425005
1403636585.063555479 0.013703 -0.093764 0.121372 -0.592696 -0.555348 0.399981 0.424635
1403636585.113555431 0.002256 -0.092710 0.141702 -0.594123 -0.556168 0.398344 0.423104
1403636585.163555384 -0.004181 -0.094524 0.130173 -0.596719 -0.556071 0.395515 0.422232
1403636585.213555574 0.004571 -0.093816 0.110789 -0.598833 -0.556574 0.391739 0.422095
1403636585.263555527 0.012724 -0.101279 0.087976 -0.599541 -0.559251 0.386218 0.422641
1403636585.313555479 0.014803 -0.099832 0.063282 -0.600047 -0.561236 0.381708 0.423388
1403636585.363555431 0.018417 -0.096649 0.032593 -0.599025 -0.564818 0.377368 0.423962
1403636585.413555384 0.018792 -0.097243 0.002043 -0.599382 -0.567427 0.374108 0.422861
1403636585.463555574 0.021561 -0.096260 -0.027756 -0.598787 -0.571900 0.372632 0.418963
1403636585.513555527 0.030974 -0.094992 -0.038750 -0.600161 -0.576430 0.369783 0.413274
1403636585.563555479 0.042618 -0.091780 -0.048804 -0.600363 -0.582223 0.368621 0.405832
1403636585.613555431 0.050607 -0.087895 -0.076008 -0.600525 -0.587036 0.369356 0.397912
1403636585.663555384 0.064802 -0.086924 -0.090858 -0.601637 -0.591302 0.369828 0.389386
1403636585.713555574 0.077464 -0.084273 -0.121833 -0.603428 -0.595174 0.370307 0.380153
1403636585.763555527 0.087942 -0.082975 -0.153515 -0.606391 -0.598150 0.369053 0.371894
1403636585.813555479 0.085800 -0.084249 -0.158628 -0.609906 -0.600474 0.368521 0.362820
1403636585.863555431 0.089016 -0.084891 -0.159972 -0.613765 -0.603396 0.366344 0.353551
1403636585.913555384 0.090171 -0.087075 -0.161365 -0.617718 -0.606070 0.363425 0.345002
