# timestamp tx ty tz qx qy qz qw
1403636859.301666498 -0.001196 -0.051030 0.000322 -0.042914 0.012318 0.699648 0.713091
1403636859.351666451 0.001823 -0.050427 -0.000349 -0.044966 0.015635 0.697772 0.714737
1403636859.401666403 0.005449 -0.049994 -0.001042 -0.046284 0.018394 0.697063 0.715278
1403636859.451666594 0.009639 -0.049309 -0.002594 -0.048737 0.018698 0.696908 0.715258
1403636859.501666546 0.014277 -0.049189 -0.003112 -0.052932 0.017263 0.696727 0.715173
1403636859.551666498 0.019310 -0.048829 -0.004045 -0.057791 0.016247 0.695798 0.715724
1403636859.601666451 0.024935 -0.048567 -0.004757 -0.062454 0.018319 0.693843 0.717179
1403636859.651666403 0.030771 -0.048299 -0.005712 -0.065410 0.022343 0.691692 0.718878
1403636859.701666594 0.036721 -0.048333 -0.006321 -0.065044 0.027268 0.690907 0.719496
1403636859.751666546 0.042479 -0.048401 -0.006943 -0.064233 0.033218 0.688831 0.721306
1403636859.801666498 0.047915 -0.048404 -0.007936 -0.063790 0.038804 0.686300 0.723476
1403636859.851666451 0.053179 -0.048614 -0.008722 -0.064327 0.043408 0.683412 0.725897
1403636859.901666403 0.058323 -0.048903 -0.009917 -0.064821 0.045712 0.682034 0.727006
1403636859.951666594 0.062702 -0.049249 -0.010971 -0.065259 0.047316 0.681646 0.727228
1403636860.001666546 0.066287 -0.049411 -0.012064 -0.066841 0.048117 0.681471 0.727196
1403636860.051666498 0.068281 -0.049106 -0.012565 -0.069119 0.048430 0.681539 0.726899
1403636860.101666451 0.068692 -0.048524 -0.012717 -0.071936 0.047961 0.682884 0.725393
1403636860.151666403 0.066809 -0.047656 -0.012027 -0.073957 0.046436 0.684046 0.724193
1403636860.201666594 0.063137 -0.046825 -0.011463 -0.076314 0.043813 0.685089 0.723125
1403636860.251666546 0.057705 -0.046119 -0.010307 -0.078338 0.039324 0.687339 0.721028
1403636860.301666498 0.051269 -0.045448 -0.008952 -0.082038 0.033836 0.689976 0.718371
1403636860.351666451 0.044365 -0.045239 -0.008710 -0.088443 0.027769 0.691793 0.716120
1403636860.401666403 0.037014 -0.044478 -0.007237 -0.095660 0.021111 0.693931 0.713346
1403636860.451666594 0.029660 -0.043789 -0.006476 -0.102916 0.014083 0.695858 0.710628
1403636860.501666546 0.022721 -0.042831 -0.004631 -0.109507 0.006527 0.698295 0.707354
1403636860.551666498 0.016970 -0.042676 -0.003774 -0.114474 -0.001070 0.700334 0.704576
