# timestamp tx ty tz qx qy qz qw
1403636867.928881168 4.728053 -1.851203 0.941637 0.0 0.0 0.0 1.0
1403636868.033881187 4.721696 -1.847381 0.939188 0.0 0.0 0.0 1.0
1403636868.077881336 4.720921 -1.846681 0.939448 0.0 0.0 0.0 1.0
1403636868.179881334 4.721146 -1.847515 0.944114 0.0 0.0 0.0 1.0
1403636868.232881308 4.723073 -1.849004 0.947091 0.0 0.0 0.0 1.0
1403636868.329881191 4.726866 -1.851538 0.951070 0.0 0.0 0.0 1.0
1403636868.379881382 4.731479 -1.853726 0.951667 0.0 0.0 0.0 1.0
1403636868.478881359 4.735413 -1.857645 0.952257 0.0 0.0 0.0 1.0
1403636868.529881239 4.737561 -1.860455 0.952342 0.0 0.0 0.0 1.0
1403636868.580881357 4.739217 -1.864532 0.952483 0.0 0.0 0.0 1.0
1403636868.630881310 4.741737 -1.869343 0.953276 0.0 0.0 0.0 1.0
1403636868.680881262 4.744221 -1.874510 0.954990 0.0 0.0 0.0 1.0
1403636868.731881380 4.750628 -1.880850 0.957287 0.0 0.0 0.0 1.0
1403636868.781881332 4.753594 -1.885035 0.959899 0.0 0.0 0.0 1.0
1403636868.831881285 4.754916 -1.887866 0.962382 0.0 0.0 0.0 1.0
1403636868.931881189 4.758104 -1.894060 0.964515 0.0 0.0 0.0 1.0
1403636868.980881214 4.759980 -1.897494 0.964491 0.0 0.0 0.0 1.0
1403636869.032881260 4.760903 -1.900686 0.964770 0.0 0.0 0.0 1.0
1403636869.077881336 4.762826 -1.904117 0.965173 0.0 0.0 0.0 1.0
1403636869.128881216 4.762923 -1.906766 0.965832 0.0 0.0 0.0 1.0
1403636869.230881214 4.762994 -1.909661 0.967153 0.0 0.0 0.0 1.0
1403636869.380881310 4.763411 -1.913667 0.965888 0.0 0.0 0.0 1.0
1403636869.429881334 4.762133 -1.913969 0.965231 0.0 0.0 0.0 1.0
1403636869.478881359 4.761008 -1.913874 0.964521 0.0 0.0 0.0 1.0
1403636869.527881384 4.760852 -1.914069 0.963834 0.0 0.0 0.0 1.0
1403636869.577881336 4.759929 -1.913536 0.963365 0.0 0.0 0.0 1.0
1403636869.629881382 4.760203 -1.912703 0.962821 0.0 0.0 0.0 1.0
1403636869.678881168 4.760026 -1.910369 0.962552 0.0 0.0 0.0 1.0
1403636869.729881287 4.760553 -1.906223 0.962090 0.0 0.0 0.0 1.0
1403636869.777881384 4.760812 -1.900033 0.961647 0.0 0.0 0.0 1.0
1403636869.829881191 4.762237 -1.890890 0.961207 0.0 0.0 0.0 1.0
1403636869.879881382 4.763638 -1.878996 0.960664 0.0 0.0 0.0 1.0
1403636869.929881334 4.764796 -1.864986 0.960439 0.0 0.0 0.0 1.0
1403636869.978881359 4.766618 -1.849224 0.960407 0.0 0.0 0.0 1.0
1403636870.028881311 4.769230 -1.831329 0.960556 0.0 0.0 0.0 1.0
1403636870.079881191 4.772520 -1.811482 0.960719 0.0 0.0 0.0 1.0
1403636870.130881310 4.770499 -1.788500 0.961220 0.0 0.0 0.0 1.0
1403636870.230881214 4.775161 -1.740760 0.960134 0.0 0.0 0.0 1.0
1403636870.281881332 4.776728 -1.715600 0.959687 0.0 0.0 0.0 1.0
1403636870.331881285 4.778365 -1.690010 0.959594 0.0 0.0 0.0 1.0
1403636870.379881382 4.780719 -1.665155 0.959811 0.0 0.0 0.0 1.0
1403636870.428881168 4.783130 -1.639848 0.960257 0.0 0.0 0.0 1.0
1403636870.477881193 4.786278 -1.615097 0.960616 0.0 0.0 0.0 1.0
1403636870.530881405 4.785764 -1.588260 0.961054 0.0 0.0 0.0 1.0
1403636870.577881336 4.788975 -1.565506 0.960630 0.0 0.0 0.0 1.0
1403636870.677881241 4.795018 -1.522488 0.956905 0.0 0.0 0.0 1.0
1403636870.730881214 4.797544 -1.503604 0.954547 0.0 0.0 0.0 1.0
1403636870.780881405 4.799459 -1.486454 0.952200 0.0 0.0 0.0 1.0
