# timestamp tx ty tz qx qy qz qw
1403637133.838319063 0.044970 -0.050601 -0.011586 -0.062717 -0.013940 0.702748 0.708532
1403637133.888319016 0.064724 -0.049705 -0.013630 -0.074074 -0.018695 0.704005 0.706074
1403637134.988318920 0.108594 -0.037791 -0.015064 -0.131400 -0.045775 0.703351 0.697092
1403637135.038319111 0.091482 -0.046736 -0.021544 -0.132331 -0.040693 0.705398 0.695159
1403637135.088319063 0.060150 -0.042330 -0.018404 -0.122336 -0.032866 0.705027 0.697776
1403637135.138319016 0.039791 -0.036989 -0.018261 -0.115923 -0.030001 0.703410 0.700625
1403637135.188318968 0.028312 -0.034136 -0.020530 -0.115142 -0.030999 0.700786 0.703335
1403637135.238318920 0.029122 -0.033883 -0.022043 -0.121366 -0.036858 0.698668 0.704113
1403637135.288319111 0.043223 -0.031368 -0.022262 -0.129192 -0.045170 0.698547 0.702354
1403637135.338319063 0.075271 -0.035992 -0.024675 -0.144253 -0.055018 0.698220 0.699037
1403637135.388319016 0.120875 -0.035771 -0.025028 -0.156624 -0.067032 0.697849 0.695688
1403637135.438318968 0.171579 -0.037157 -0.019008 -0.167884 -0.074708 0.696138 0.693993
1403637135.488318920 0.233438 -0.035523 -0.008238 -0.181258 -0.084387 0.696166 0.689476
1403637135.538319111 0.300448 -0.032815 0.008638 -0.196855 -0.097335 0.695064 0.684587
1403637135.588319063 0.366479 -0.026752 0.031955 -0.213449 -0.110014 0.693817 0.678936
1403637135.638319016 0.429342 -0.012285 0.060626 -0.227424 -0.126870 0.694390 0.670824
1403637135.688318968 0.489376 0.000565 0.097269 -0.243899 -0.142876 0.695074 0.661039
1403637135.738318920 0.536931 0.006993 0.131036 -0.258066 -0.154835 0.695298 0.652678
1403637135.788319111 0.575316 0.009423 0.162866 -0.271027 -0.162473 0.696984 0.643708
1403637135.838319063 0.592902 0.011707 0.179220 -0.275956 -0.165313 0.698288 0.639464
1403637135.888319016 0.599615 0.009857 0.184797 -0.277825 -0.163207 0.700435 0.636842
1403637135.938318968 0.598680 0.010509 0.182800 -0.277613 -0.161187 0.701923 0.635810
1403637135.988318920 0.595195 0.009195 0.180971 -0.277946 -0.161846 0.701974 0.635440
1403637136.038319111 0.580541 0.009792 0.169934 -0.272710 -0.161236 0.702035 0.637792
1403637136.088319063 0.560741 0.008186 0.155868 -0.267939 -0.159689 0.700272 0.642127
1403637136.138319016 0.540360 0.004663 0.143590 -0.265392 -0.156814 0.700235 0.643931
1403637136.188318968 0.517784 -0.001440 0.125864 -0.263559 -0.153996 0.697645 0.648161
1403637136.238318920 0.482237 -0.008402 0.107584 -0.258714 -0.147569 0.698189 0.651016
1403637136.288319111 0.448186 -0.013754 0.089861 -0.255481 -0.144861 0.698157 0.652932
1403637136.338319063 0.417737 -0.017789 0.073478 -0.254274 -0.144538 0.697126 0.654575
1403637136.388319016 0.383835 -0.018346 0.057768 -0.249297 -0.143823 0.698657 0.655015
1403637136.438318968 0.351276 -0.022753 0.043736 -0.246486 -0.142360 0.698554 0.656507
1403637136.788319111 0.363484 -0.025095 0.041378 -0.261394 -0.164959 0.700049 0.643733
1403637136.838319063 0.398337 -0.020674 0.053893 -0.265560 -0.171536 0.699291 0.641129
1403637136.888319016 0.439163 -0.016101 0.070539 -0.271089 -0.176303 0.698004 0.638920
1403637136.938318968 0.478731 -0.008076 0.091893 -0.277457 -0.180307 0.697212 0.635926
1403637136.988318920 0.518199 0.001711 0.115568 -0.286225 -0.183690 0.694361 0.634189
1403637137.038319111 0.551119 0.008847 0.139042 -0.293416 -0.183107 0.693601 0.631899
1403637137.088319063 0.578565 0.011195 0.161732 -0.300634 -0.179295 0.694123 0.629020
1403637137.138319016 0.598179 0.013305 0.177884 -0.302261 -0.174861 0.698620 0.624494
1403637137.188318968 0.610978 0.014129 0.188900 -0.301221 -0.170844 0.703221 0.620934
1403637137.238318920 0.618095 0.015760 0.194188 -0.297926 -0.168928 0.705124 0.620889
1403637137.288319111 0.616576 0.016084 0.193113 -0.293647 -0.165065 0.706068 0.622891
1403637137.338319063 0.612072 0.016157 0.190596 -0.289734 -0.161537 0.706179 0.625516
1403637137.388319016 0.601893 0.014224 0.184777 -0.284712 -0.157625 0.706709 0.628217
1403637137.438318968 0.587396 0.012458 0.175162 -0.278685 -0.154551 0.707611 0.630663
1403637137.488318920 0.567421 0.010910 0.161219 -0.273148 -0.152802 0.705980 0.635322
1403637137.538319111 0.544369 0.007222 0.145157 -0.269308 -0.152166 0.703347 0.640017
1403637137.588319063 0.511658 0.003062 0.123850 -0.265200 -0.148962 0.699394 0.646783
1403637137.638319016 0.481943 -0.001695 0.102950 -0.264634 -0.148242 0.696569 0.650219
1403637137.688318968 0.442739 -0.007643 0.083391 -0.262433 -0.144296 0.694506 0.654193
1403637137.738318920 0.405294 -0.012813 0.067699 -0.258902 -0.141572 0.695213 0.655444
1403637137.788319111 0.371283 -0.017995 0.053834 -0.254451 -0.138810 0.697234 0.655631
1403637137.838319063 0.341211 -0.022876 0.042424 -0.249213 -0.137666 0.697707 0.657378
1403637137.888319016 0.312617 -0.026821 0.030786 -0.243871 -0.136563 0.696738 0.660632
1403637137.938318968 0.293659 -0.028375 0.023067 -0.242692 -0.138039 0.694639 0.662965
1403637137.988318920 0.287591 -0.026952 0.019832 -0.245818 -0.144704 0.691907 0.663249
1403637138.038319111 0.294376 -0.023527 0.020737 -0.251040 -0.153308 0.690335 0.660994
1403637138.088319063 0.316117 -0.019255 0.026000 -0.257550 -0.163183 0.691981 0.654371
1403637138.138319016 0.344381 -0.018076 0.033335 -0.261725 -0.170429 0.694650 0.648008
1403637138.188318968 0.380445 -0.012778 0.045231 -0.265301 -0.178863 0.691524 0.647625
1403637138.238318920 0.419192 -0.004465 0.060412 -0.268265 -0.182964 0.685257 0.651906
1403637138.288319111 0.460700 0.003430 0.078986 -0.271359 -0.184635 0.683390 0.652114
1403637138.338319063 0.504574 0.008817 0.103525 -0.277404 -0.186043 0.682070 0.650550
1403637138.388319016 0.541488 0.012522 0.129291 -0.283162 -0.182927 0.681581 0.649464
1403637138.438318968 0.571084 0.015271 0.153223 -0.288234 -0.177343 0.680690 0.649716
1403637138.488318920 0.589103 0.018097 0.168653 -0.289477 -0.169832 0.682032 0.649763
1403637138.538319111 0.600348 0.016905 0.178199 -0.290006 -0.162502 0.683684 0.649666
1403637138.588319063 0.608497 0.018419 0.185381 -0.289734 -0.158428 0.684547 0.649885
1403637138.638319016 0.609541 0.019356 0.187199 -0.287226 -0.155657 0.686471 0.649638
1403637138.688318968 0.604363 0.018266 0.185322 -0.285073 -0.153661 0.687861 0.649591
1403637138.738318920 0.597137 0.015080 0.180986 -0.283908 -0.152826 0.690108 0.647914
1403637138.788319111 0.582360 0.015196 0.170559 -0.281188 -0.151825 0.691723 0.647612
1403637138.838319063 0.563388 0.013318 0.158286 -0.280229 -0.150020 0.691850 0.648313
1403637138.888319016 0.536436 0.011563 0.140374 -0.276138 -0.147073 0.692123 0.650448
1403637138.938318968 0.501849 0.008517 0.121481 -0.268798 -0.142870 0.693437 0.653055
1403637138.988318920 0.467048 0.004639 0.103003 -0.257143 -0.138128 0.699502 0.652299
1403637139.038319111 0.429809 0.000641 0.088007 -0.244656 -0.133352 0.705173 0.651991
1403637139.088319063 0.392844 -0.005467 0.074841 -0.233438 -0.126279 0.709509 0.652807
1403637139.138319016 0.358795 -0.011712 0.066468 -0.224884 -0.119678 0.711976 0.654365
1403637139.188318968 0.326860 -0.016303 0.058729 -0.215914 -0.115021 0.714039 0.655972
1403637139.238318920 0.298781 -0.019434 0.052857 -0.208549 -0.111015 0.713581 0.659534
