# timestamp tx ty tz qx qy qz qw
1403637135.138319016 -0.007419 -0.065041 -0.042746 -0.606076 -0.542090 0.409272 0.413893
1403637135.488318920 0.394078 0.273276 0.043817 -0.609523 -0.525462 0.427474 0.411871
1403637135.538319111 0.219471 0.168471 0.366435 -0.611523 -0.511978 0.427338 0.425793
1403637135.588319063 0.208762 0.189760 0.395530 -0.619971 -0.495788 0.439629 0.420185
1403637135.638319016 0.325767 0.311008 0.506221 -0.611503 -0.489742 0.449648 0.428992
1403637135.688318968 0.382656 0.424968 0.563439 -0.604871 -0.482095 0.461808 0.434107
1403637135.738318920 0.456478 0.485200 0.609523 -0.601419 -0.471990 0.471628 0.439416
1403637135.788319111 0.524290 0.592119 0.725468 -0.601258 -0.460142 0.483272 0.439553
1403637135.838319063 0.502469 0.701955 0.791795 -0.598304 -0.456274 0.489946 0.440228
1403637135.888319016 0.517911 0.806238 0.906972 -0.601284 -0.450437 0.494379 0.437211
1403637135.938318968 0.511381 0.924321 0.956600 -0.602154 -0.456788 0.496397 0.427019
1403637135.988318920 0.599635 0.962755 0.946383 -0.601306 -0.462325 0.495401 0.423398
1403637136.038319111 0.634973 0.875546 0.836265 -0.601748 -0.469397 0.492109 0.418802
1403637136.088319063 0.725204 0.869818 0.780627 -0.602872 -0.477036 0.484251 0.417711
1403637136.138319016 0.703191 0.808583 0.757924 -0.600089 -0.489411 0.478158 0.414408
1403637136.188318968 0.747348 0.531021 0.477104 -0.598311 -0.500680 0.465625 0.417775
1403637136.238318920 0.771730 0.452321 0.333460 -0.600133 -0.505702 0.461613 0.413545
1403637136.288319111 0.775767 0.278117 0.302890 -0.607911 -0.509535 0.450244 0.409998
1403637136.338319063 0.736569 0.026581 0.423632 -0.621158 -0.515641 0.430573 0.403589
1403637136.388319016 0.743540 -0.015686 0.497433 -0.627725 -0.525149 0.417423 0.394890
1403637136.438318968 0.670600 -0.075684 0.555101 -0.633636 -0.532426 0.406475 0.387047
1403637136.488318920 0.673185 -0.242840 0.419148 -0.640570 -0.529377 0.405827 0.380440
1403637136.538319111 0.367283 -0.365448 0.289296 -0.645510 -0.528408 0.403328 0.376070
1403637136.588319063 0.014180 -0.424086 0.274844 -0.647655 -0.530432 0.398949 0.374200
1403637136.638319016 -0.099702 -0.451008 0.323497 -0.648371 -0.534325 0.394042 0.372616
1403637136.688318968 -0.201399 -0.472936 0.384524 -0.649119 -0.535321 0.390977 0.373112
1403637136.738318920 -0.189389 -0.464574 0.434240 -0.649279 -0.535895 0.390459 0.372553
1403637136.788319111 -0.165602 -0.470337 0.443490 -0.648396 -0.534126 0.391395 0.375636
1403637136.838319063 -0.127435 -0.471232 0.478480 -0.645797 -0.530128 0.395924 0.380991
1403637136.888319016 -0.169254 -0.457909 0.526616 -0.642274 -0.525528 0.400284 0.388687
1403637136.938318968 -0.157041 -0.454251 0.574872 -0.638363 -0.519463 0.404999 0.398279
1403637136.988318920 -0.131653 -0.419828 0.623906 -0.635576 -0.510989 0.410095 0.408356
1403637137.038319111 -0.120991 -0.401393 0.661997 -0.633266 -0.501801 0.415093 0.418172
1403637137.088319063 -0.082760 -0.388984 0.707391 -0.631563 -0.492552 0.420040 0.426716
1403637137.138319016 -0.103441 -0.397168 0.726254 -0.629966 -0.482172 0.429093 0.431894
1403637137.188318968 -0.083275 -0.396281 0.734479 -0.627618 -0.475079 0.437279 0.434952
1403637137.238318920 -0.063193 -0.388393 0.742522 -0.624273 -0.472127 0.442308 0.437884
1403637137.288319111 -0.048545 -0.386476 0.744509 -0.621935 -0.470742 0.444159 0.440819
1403637137.338319063 -0.058182 -0.391603 0.735839 -0.619965 -0.469914 0.444935 0.443686
1403637137.388319016 -0.059860 -0.389301 0.721227 -0.618115 -0.470539 0.445621 0.444914
1403637137.438318968 -0.056508 -0.382342 0.699042 -0.617536 -0.471632 0.446546 0.443632
1403637137.488318920 -0.057222 -0.379828 0.667785 -0.617924 -0.475514 0.443275 0.442226
1403637137.538319111 -0.066427 -0.381969 0.630662 -0.618977 -0.481969 0.438037 0.438974
1403637137.588319063 -0.071853 -0.388099 0.594144 -0.621827 -0.489669 0.428735 0.435594
1403637137.638319016 -0.067152 -0.403931 0.544841 -0.626948 -0.497769 0.417424 0.430023
1403637137.688318968 -0.087132 -0.415064 0.502316 -0.633196 -0.504192 0.407865 0.422492
1403637137.738318920 -0.028877 -0.424581 0.465049 -0.638717 -0.510636 0.401037 0.412871
1403637137.788319111 -0.056611 -0.425933 0.426499 -0.642604 -0.515820 0.397345 0.403865
1403637137.838319063 0.110993 -0.411075 0.394915 -0.644949 -0.521447 0.394339 0.395765
1403637137.888319016 0.212582 -0.428011 0.359716 -0.646092 -0.526720 0.392111 0.389076
1403637137.938318968 -0.028333 -0.414100 0.348876 -0.647989 -0.531044 0.388240 0.383891
1403637137.988318920 -0.011627 -0.431315 0.345874 -0.649875 -0.537004 0.381393 0.379248
1403637138.038319111 -0.063014 -0.424226 0.379923 -0.652460 -0.540678 0.376808 0.374138
1403637138.088319063 -0.089327 -0.407513 0.424766 -0.654055 -0.541494 0.376102 0.370868
1403637138.138319016 -0.069117 -0.419760 0.425816 -0.651892 -0.540899 0.380362 0.371201
1403637138.188318968 -0.157248 -0.346188 0.487305 -0.647478 -0.547911 0.374943 0.374143
