# timestamp tx ty tz qx qy qz qw
1403638132.545097113 -0.002465 -0.063432 -0.028303 -0.599312 -0.538159 0.421224 0.416870
1403638132.595097065 -0.167539 0.036612 0.390305 -0.617416 -0.500167 0.449900 0.407703
1403638132.695096970 -0.208983 -0.003383 0.446457 -0.615943 -0.509137 0.440915 0.408642
1403638132.745096922 -0.191815 0.029728 0.518530 -0.622383 -0.497319 0.454687 0.398212
1403638132.795097113 -0.225537 0.026938 0.529776 -0.619509 -0.501000 0.450002 0.403367
1403638132.845097065 -0.279995 0.035561 0.574909 -0.621484 -0.494069 0.455614 0.402579
1403638132.895097017 -0.285845 0.025918 0.659240 -0.621695 -0.486817 0.462813 0.402874
1403638132.945096970 -0.213763 0.013232 0.568832 -0.620520 -0.483472 0.466631 0.404308
1403638132.995096922 -0.188728 0.014420 0.539764 -0.616294 -0.485260 0.469338 0.405495
1403638133.045097113 -0.178480 0.008035 0.545838 -0.612702 -0.492335 0.465646 0.406666
1403638133.095097065 -0.174683 0.010208 0.557931 -0.610053 -0.501146 0.458052 0.408505
1403638133.145097017 -0.160985 0.011978 0.577596 -0.610394 -0.505996 0.451553 0.409252
1403638133.195096970 -0.164404 0.023800 0.611163 -0.612565 -0.506634 0.444971 0.412416
1403638133.245096922 -0.180279 0.019477 0.591636 -0.616643 -0.503441 0.439316 0.416294
1403638133.295097113 -0.179604 0.020745 0.561977 -0.620735 -0.500563 0.430785 0.422551
1403638133.345097065 -0.184767 0.058033 0.543292 -0.625361 -0.500177 0.421852 0.425191
1403638133.395097017 -0.074719 0.067001 0.494898 -0.628912 -0.500315 0.414007 0.427496
1403638133.445096970 -0.032715 0.093530 0.480192 -0.633677 -0.498390 0.404281 0.431993
1403638133.495096922 -0.074118 0.114596 0.433620 -0.639616 -0.491962 0.396978 0.437349
1403638133.545097113 -0.082414 0.144430 0.397933 -0.646555 -0.483623 0.391990 0.440930
1403638133.595097065 -0.083482 0.179428 0.378972 -0.654148 -0.476546 0.389252 0.439860
