# timestamp tx ty tz qx qy qz qw
1403638522.227829456 0.017297 -0.073319 -0.002731 -0.005856 -0.000148 0.701996 0.712157
1403638522.277829409 0.040469 -0.075105 -0.009519 -0.001961 -0.000498 0.703013 0.711174
1403638522.327829599 0.069993 -0.076049 -0.017608 0.001787 -0.001496 0.704146 0.710052
1403638523.827829599 0.255392 -0.065730 -0.075991 -0.001676 -0.040355 0.701455 0.711568
1403638523.927829504 0.194351 -0.058953 -0.062084 0.001366 -0.032559 0.695409 0.717875
1403638524.027829409 0.117039 -0.042842 -0.039525 0.004750 -0.026555 0.686318 0.726801
1403638524.077829599 0.110999 -0.045288 -0.048442 0.002161 -0.029173 0.683175 0.729668
1403638524.127829552 0.116161 -0.043918 -0.054063 0.000033 -0.032763 0.680799 0.731737
1403638524.227829456 0.157484 -0.049160 -0.033146 -0.004035 -0.043648 0.680828 0.731130
1403638524.277829409 0.190670 -0.018064 -0.020327 -0.000806 -0.050414 0.681975 0.729636
1403638524.327829599 0.252441 0.002514 -0.019927 0.000225 -0.058694 0.684891 0.726278
1403638524.377829552 0.356467 0.076533 -0.002957 0.002351 -0.073411 0.687622 0.722345
1403638524.427829504 0.451891 0.094217 0.006453 0.002040 -0.080585 0.690639 0.718693
1403638527.227829456 -0.020107 -0.046371 0.008650 -0.033527 0.023768 0.711046 0.701943
1403638527.277829409 -0.019600 -0.043024 0.008693 -0.037990 0.031608 0.711770 0.700672
1403638527.327829599 -0.019069 -0.040529 0.008956 -0.041761 0.040206 0.711390 0.700403
1403638527.377829552 -0.018649 -0.038943 0.009210 -0.044997 0.048556 0.709955 0.701129
1403638527.427829504 -0.018193 -0.038178 0.009476 -0.047416 0.055185 0.708770 0.701677
1403638527.477829456 -0.017773 -0.038369 0.010135 -0.049167 0.059714 0.707948 0.702016
1403638527.527829409 -0.018233 -0.039348 0.010771 -0.050125 0.062402 0.707412 0.702255
1403638527.577829599 -0.017818 -0.041344 0.011471 -0.050948 0.063128 0.707226 0.702318
1403638527.627829552 -0.017176 -0.043696 0.012370 -0.050904 0.062490 0.707023 0.702582
1403638527.677829504 -0.017845 -0.045418 0.014038 -0.048548 0.060885 0.706258 0.703659
1403638527.727829456 -0.017886 -0.050156 0.014260 -0.046764 0.059274 0.704905 0.705272
1403638527.777829409 -0.017072 -0.056917 0.014528 -0.045860 0.056344 0.704614 0.705862
1403638527.827829599 -0.016339 -0.061582 0.015666 -0.043619 0.050898 0.706144 0.704888
1403638527.877829552 -0.015770 -0.067143 0.016778 -0.040719 0.045126 0.707998 0.703594
1403638527.927829504 -0.015150 -0.072688 0.017743 -0.037925 0.040729 0.709376 0.702630
1403638527.977829456 -0.014627 -0.078267 0.018752 -0.035418 0.038915 0.709487 0.702752
1403638528.027829409 -0.014252 -0.083627 0.019374 -0.032452 0.038053 0.708932 0.703501
1403638528.077829599 -0.013765 -0.088998 0.020176 -0.028348 0.036080 0.708498 0.704220
