# timestamp tx ty tz qx qy qz qw
1403638519.706830263 4.396182 -1.732117 0.695250 0.0 0.0 0.0 1.0
1403638519.806830406 4.396181 -1.732108 0.695229 0.0 0.0 0.0 1.0
1403638519.855830431 4.396164 -1.732141 0.695206 0.0 0.0 0.0 1.0
1403638519.907830238 4.396180 -1.732112 0.695230 0.0 0.0 0.0 1.0
1403638519.955830336 4.396169 -1.732138 0.695228 0.0 0.0 0.0 1.0
1403638520.057830334 4.396180 -1.732101 0.695207 0.0 0.0 0.0 1.0
1403638520.106830359 4.396180 -1.732104 0.695213 0.0 0.0 0.0 1.0
1403638520.154830456 4.396171 -1.732124 0.695205 0.0 0.0 0.0 1.0
1403638520.206830263 4.396176 -1.732123 0.695229 0.0 0.0 0.0 1.0
1403638520.255830288 4.396174 -1.732125 0.695222 0.0 0.0 0.0 1.0
1403638520.307830334 4.396193 -1.732080 0.695231 0.0 0.0 0.0 1.0
1403638520.357830286 4.396172 -1.732131 0.695229 0.0 0.0 0.0 1.0
1403638520.408830404 4.396180 -1.732112 0.695230 0.0 0.0 0.0 1.0
1403638520.456830263 4.396167 -1.732143 0.695227 0.0 0.0 0.0 1.0
1403638520.559830427 4.396174 -1.732119 0.695208 0.0 0.0 0.0 1.0
1403638520.605830431 4.396177 -1.732119 0.695228 0.0 0.0 0.0 1.0
1403638520.658830404 4.396179 -1.732115 0.695230 0.0 0.0 0.0 1.0
1403638520.706830263 4.396176 -1.732122 0.695230 0.0 0.0 0.0 1.0
1403638520.806830406 4.396167 -1.732136 0.695207 0.0 0.0 0.0 1.0
1403638520.856830359 4.396176 -1.732128 0.695243 0.0 0.0 0.0 1.0
1403638520.908830404 4.396179 -1.732115 0.695229 0.0 0.0 0.0 1.0
1403638520.958830357 4.396173 -1.732129 0.695229 0.0 0.0 0.0 1.0
1403638521.007830381 4.396176 -1.732115 0.695217 0.0 0.0 0.0 1.0
1403638521.056830406 4.396174 -1.732126 0.695229 0.0 0.0 0.0 1.0
1403638521.108830452 4.396171 -1.732124 0.695205 0.0 0.0 0.0 1.0
1403638521.156830311 4.396143 -1.732182 0.695179 0.0 0.0 0.0 1.0
1403638521.258830309 4.397062 -1.732532 0.694993 0.0 0.0 0.0 1.0
1403638521.309830427 4.396119 -1.732225 0.695138 0.0 0.0 0.0 1.0
1403638521.358830452 4.396141 -1.732176 0.695152 0.0 0.0 0.0 1.0
1403638521.408830404 4.396147 -1.732169 0.695172 0.0 0.0 0.0 1.0
1403638521.457830429 4.396114 -1.732233 0.695128 0.0 0.0 0.0 1.0
1403638521.558830261 4.397025 -1.732623 0.694986 0.0 0.0 0.0 1.0
